features,split,repeat,fold,auc,n_test
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,4,0.7607079308591764,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,5,0.7079149720386375,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,6,0.7802014489069649,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,7,0.739797354348438,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,8,0.7744472589673828,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,9,0.6778622134659287,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,pooled,0.7413915393618915,6181
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,0,0.4728664192949907,534
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,1,0.4892037786774629,566
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,2,0.5259652291713706,704
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,3,0.5187617260787993,490
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,4,0.4008721687060661,547
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,5,0.5688770325203253,679
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,6,0.456054249989818,614
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,7,0.3928210021106196,628
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,8,0.5826448603383353,713
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,9,0.5178327049294791,706
39項目から追跡中のケガの記録を除く,人ごとに10分割,0,pooled,0.4853793638107215,6181
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,0,0.5850382690609361,359
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,1,0.562503743635819,683
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,2,0.5011987404279682,717
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,3,0.5150803310613438,599
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,4,0.49550499445061047,563
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,5,0.3560758402757828,708
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,6,0.40492204533300424,739
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,7,0.5003237143914169,670
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,8,0.3909562211981567,648
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,9,0.5802527106633655,495
39項目から追跡中のケガの記録を除く,人ごとに10分割,1,pooled,0.4719211373275404,6181
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,0,0.5897697368421052,420
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,1,0.4704523476952831,763
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,2,0.5180628703094141,650
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,3,0.5046276756104914,597
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,4,0.5560423627308833,605
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,5,0.47286470143612996,672
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,6,0.4606461591338718,595
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,7,0.383993700265252,748
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,8,0.48250367227027907,612
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,9,0.48347398030942335,519
39項目から追跡中のケガの記録を除く,人ごとに10分割,2,pooled,0.48431891156153367,6181
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,0,0.5101851851851852,663
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,1,0.5353285691257859,540
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,2,0.47482721956406165,669
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,3,0.5562735195088137,447
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,4,0.48964723926380366,521
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,5,0.5868727682766397,694
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,6,0.45106045831301805,656
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,7,0.48680491505757045,612
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,8,0.505603448275862,649
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,9,0.5408403254513094,730
39項目から追跡中のケガの記録を除く,人ごとに10分割,3,pooled,0.5072400842427434,6181
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,0,0.42236202459250793,590
39項目から追跡中のケガの記録を除く,人ごとに10分割,4,1,0.47120689655172415,635
